fr,en,it,de,es,ko,kana
:[name=SirMalo]:Super ! Continuons avec la prochaine question.,":[name=Elder Theodrin]:That is not common... but not unheard of either.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,":[name=Anciano Theodrin]:No es común... aunque tampoco imposible.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.
":[name=SirMalo]:Pour changer tes touches, appuie sur la touche F1 à tout moment après cette introduction !",":[name=Elder Theodrin]:Do you at least recall your name?:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=Anciano Theodrin]:¿Al menos recuerda su nombre?:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!"
:[name=SirMalo]:Tu pourras alors modifier tes contrôles comme bon te semble.,":[name=Elder Theodrin]:\n[1]... is that what you call yourself?:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,":[name=Anciano Theodrin]:\[n1]... ¿así es como se llama?:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.
:[name=SirMalo]:Passons à la question suivante.,":[name=Elder Theodrin]:And you are certain of it?:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,":[name=Anciano Theodrin]:¿Está seguro de ello?:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.
:[name=SirMalo]:Quelle est l'apparence qui te définit le mieux ?,":[name=Elder Theodrin]:You collapsed not far from Holtheim, along the outer paths.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,":[name=Anciano Theodrin]:Se desplomó no muy lejos de Holtheim, en los caminos exteriores.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?
Gauche,":[name=Elder Theodrin]:Few travelers pass through here... and fewer still arrive alone.:[bloop_sound=voice_asgore,100,100]:",Left,Left,":[name=Anciano Theodrin]:Pocos viajeros pasan por aquí... y menos aún llegan solos.:[bloop_sound=voice_asgore,100,100]:",Left,Left
Droite,":[name=Elder Theodrin]:Fewer without a Critter.:[bloop_sound=voice_asgore,100,100]:",Right,Right,":[name=Anciano Theodrin]:Y casi ninguno sin un Critter.:[bloop_sound=voice_asgore,100,100]:",Right,Right
":[name=SirMalo]:Pour finir, quel est ton nom ?",":[name=Elder Theodrin]:...:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?",":[name=Anciano Theodrin]:...:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:Finally, what is your name?",":[name=SirMalo]:Finally, what is your name?"
:[name=SirMalo]:\n[1] ? C'est un très beau nom !\nlJe l'ai bien écrit ?,":[name=Elder Theodrin]:Take this journal.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,":[name=Anciano Theodrin]:Tome este diario.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?,:[name=SirMalo]:\n[1]? It's a great name!\nlDid I write it properly?
":[name=SirMalo]:Tout est bon, jeune Maker !",":[name=Elder Theodrin]:If your memories do return, it may help you keep them in order.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!",":[name=Anciano Theodrin]:Si sus recuerdos regresan, le ayudará a ponerlos en orden.:[bloop_sound=voice_asgore,100,100]:",":[name=SirMalo]:We're done, young Maker!",":[name=SirMalo]:We're done, young Maker!"
:[name=SirMalo]:Tu vas pouvoir expérimenter cette démo et découvrir les fonctionnalités de CritterSDK !,":[name=Elder Theodrin]:Rest for now, \n[1].:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:You can now experiment with this demo and discover the features of CritterSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of CritterSDK!,":[name=Anciano Theodrin]:Descanse por ahora, \[n1].:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:You can now experiment with this demo and discover the features of CritterSDK!,:[name=SirMalo]:You can now experiment with this demo and discover the features of CritterSDK!
:[name=SirMalo]:Amuse-toi bien !,":[name=Elder Theodrin]:Holtheim is quiet. You will not be disturbed here.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!,":[name=Anciano Theodrin]:Holtheim es un lugar tranquilo. No será molestado aquí.:[bloop_sound=voice_asgore,100,100]:",:[name=SirMalo]:Have fun!,:[name=SirMalo]:Have fun!
,":[name=Elder Theodrin]:When you are ready, we will see about getting you a Critter.:[bloop_sound=voice_asgore,100,100]:",,,":[name=Anciano Theodrin]:Cuando esté listo, veremos cómo conseguirle un Critter.:[bloop_sound=voice_asgore,100,100]:",,
