en,fr,it,de,es,ko,kana
You can’t select an Egg.,Vous ne pouvez pas donner d’objet à un Œuf !,Non puoi scegliere un Uovo.,Ein Ei kann nicht ausgewählt werden.,No puedes seleccionar un Huevo.,알은 선택할 수 없습니다,タマゴは　えらべません
You gave the item to the Critter.,Vous avez donné l’objet au Critter.,Hai dato lo strumento al Critter.,Du hast das Item dem Critter gegeben.,Le has dado el objeto al Critter.,지닌물건을 건넸습니다,もちものを　わたしました
To Boxes,Boîtes PC,Box del PC,PC-Boxen,Ver cajas,박스로,ボックスへ
Lv. [VAR NUM3(0000)],N. [VAR NUM3(0000)],L. [VAR NUM3(0000)],Lv. [VAR NUM3(0000)],Nv. [VAR NUM3(0000)],Lv.[VAR NUM3(0000)],Lv.[VAR NUM3(0000)]
[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)],[VAR PKNICK(0000)]
HP,PV,PS,KP,PS,HP,HP
/,/,/,/,/,/,/
"[VAR 0203(0000,0000)]","[VAR 0203(0000,202F)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]"
"[VAR 0203(0000,0000)]","[VAR 0203(0000,202F)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]","[VAR 0203(0000,0000)]"
Check summary,Résumé,Info,Bericht,Datos,능력치를 본다,つよさをみる
Restore,Soigner,Rimedi,Heilen,Curar,회복한다,かいふくする
Held item,Objet,Strumenti,Item,Objeto,지닌물건,もちもの
Back,Retour,Esci,Abbrechen,Salir,그만둔다,やめる
Swap Critter,Déplacer,Sposta Critter,Critter bewegen,Mover,포켓몬을 교체한다,ポケモンをいれかえる
[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)],[VAR 0109(0000)]
Can learn this move!,Apte,Può impararla!,Erlernbar!,Apto,배울 수 있다!,おぼえられる！
Can’t learn move,Pas apte,Non può impararla!,Nicht erlernbar!,No apto,배울 수 없다,おぼえられない
Already learned!,Déjà appris,La conosce già.,Bereits erlernt!,Aprendido,이미 알고 있다,おぼえている
Open your Bag,Ouvrir le Sac,Apri la Borsa,Aus dem Beutel holen,Abrir la Mochila,가방을 연다,バッグをひらく
Put it back to your Bag,Remettre dans le Sac,Rimetti nella Borsa,In den Beutel stecken,Devolver a la Mochila,가방에 넣는다,バッグへもどす
Give an item,Donner un objet,Sposta,Weitergeben,Dar objeto,지닌물건을 건넨다,もちものをわたす
Back,Retour,Indietro,Abbrechen,Salir,그만둔다,やめる
 Confirm, Sélectionner, Ok, Auswählen, Confirmar,결정,けってい
 Back, Retour, Indietro, Zurück, Atrás,돌아간다,もどる
 Swap Critter, Déplacer un Critter, Sposta Critter, Critter bewegen, Mover,포켓몬 교체,ポケモンいれかえ
 Swap Held Items, Déplacer un objet, Sposta strumenti, Item bewegen, Objetos,지닌물건 교체,もちものいれかえ
 Back,Retour,Esci, Zurück,Salir,그만둔다,やめる
Box,Boîte PC,Box, PC-Boxen,Caja,박스,ボックス
You can choose an item in the Bag and use it or give it to a Critter.,Permet de choisir dans votre Sac un objet à utiliser ou à faire tenir à un Critter.,Scegli uno strumento dalla Borsa per usarlo o darlo a un Critter.,Wähle ein Item aus dem Beutel aus und benutze es oder gib es einem Critter zum Tragen.,Puedes elegir un objeto de la Bolsa para usarlo o para dárselo al Critter.,가방에서 도구를 선택하여 사용하거나 지니게 할 수 있습니다,バッグから　どうぐを　えらんで つかったり　もたせたり　できます
You can take an item that a Critter is holding and put it back in the Bag.,Permet de ranger dans le Sac l’objet tenu par le Critter.,Metti lo strumento del Critter nella Borsa.,"Lege ein Item, das von einem Critter getragen wird, in den Beutel zurück.",Puedes quitarle el objeto que lleva y guardarlo en la Bolsa.,포켓몬이 지니고 있는 도구를 가방에 다시 넣습니다,ポケモンが　もっている　どうぐを バッグに　もどします
You can move an item that a Critter is holding.,Permet de déplacer l’objet tenu par un Critter.,Sposta lo strumento del Critter.,"Gib ein Item, das von einem Critter getragen wird, einem anderen Critter zum Tragen.",Puedes darle el objeto que lleva a otro Critter.,포켓몬이 지니고 있는 도구를 이동시킬 수 있습니다,ポケモンが　もっている　どうぐを いどうすることが　できます
This will take you back to the previous screen.,Retour à l’écran précédent.,Torna alla schermata precedente.,Kehre zur vorherigen Auswahl zurück.,Regresa a la pantalla anterior.,이전 화면으로 돌아갑니다,まえの　がめんに　もどります
