fr,en,it,de,es,ko,kana
Quel Critter veux-tu que je renomme ?,Which Critter's nickname should I critique?,Which Critter's nickname should I critique?,Which Critter's nickname should I critique?,Which Critter's nickname should I critique?,Which Critter's nickname should I critique?,Which Critter's nickname should I critique?
"Mais enfin, tu peux pas renommer un Œuf, c'est bien connu !","Now, now. That is merely an Egg! An Egg can go by no other name!","Now, now. That is merely an Egg! An Egg can go by no other name!","Now, now. That is merely an Egg! An Egg can go by no other name!","Now, now. That is merely an Egg! An Egg can go by no other name!","Now, now. That is merely an Egg! An Egg can go by no other name!","Now, now. That is merely an Egg! An Egg can go by no other name!"
"Hm, [POKE], tu dis ? C'est un nom intéressant, mais je pense qu'on peut trouver mieux.","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?","[POKE], is it? Hmm... That is a decent nickname!\nlBut, I can give it a nicer name? How about it?"
Mais enfin ! Tu te moques de moi ?,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!,It looks no different from before?\nlThat's just you! This is vastly superior! How fortunate for you!
"C'est beaucoup plus original, tu ne trouves pas ?","It is a better name than before, isn't it? Good for you!""","It is a better name than before, isn't it? Good for you!""","It is a better name than before, isn't it? Good for you!""","It is a better name than before, isn't it? Good for you!""","It is a better name than before, isn't it? Good for you!""","It is a better name than before, isn't it? Good for you!"""
"Je reste là, si tu changes d'avis.","Ah, good. I see. Do come visit again if you change your mind.","Ah, good. I see. Do come visit again if you change your mind.","Ah, good. I see. Do come visit again if you change your mind.","Ah, good. I see. Do come visit again if you change your mind.","Ah, good. I see. Do come visit again if you change your mind.","Ah, good. I see. Do come visit again if you change your mind."
Je peux tout te dire sur le type de la puissance cachée de ton équipe.,I’ll tell you what type your Critter’s Hidden Power will be.,I’ll tell you what type your Critter’s Hidden Power will be.,I’ll tell you what type your Critter’s Hidden Power will be.,I’ll tell you what type your Critter’s Hidden Power will be.,I’ll tell you what type your Critter’s Hidden Power will be.,I’ll tell you what type your Critter’s Hidden Power will be.
C'est ma puissance cachée à moi.,My own hidden power lets me do that.,My own hidden power lets me do that.,My own hidden power lets me do that.,My own hidden power lets me do that.,My own hidden power lets me do that.,My own hidden power lets me do that.
"Si ce Critter apprenait [MOVE], ce serait une capacité de type [POWER].","If this Critter were to learn [MOVE], the move’s type would be [POWER].","If this Critter were to learn [MOVE], the move’s type would be [POWER].","If this Critter were to learn [MOVE], the move’s type would be [POWER].","If this Critter were to learn [MOVE], the move’s type would be [POWER].","If this Critter were to learn [MOVE], the move’s type would be [POWER].","If this Critter were to learn [MOVE], the move’s type would be [POWER]."
"Si tu changes d'avis, fais-le moi savoir, et je mettrai ma puissance cachée à ton service.","If you want to know, ask me, and I’ll activate my hidden power for you.","If you want to know, ask me, and I’ll activate my hidden power for you.","If you want to know, ask me, and I’ll activate my hidden power for you.","If you want to know, ask me, and I’ll activate my hidden power for you.","If you want to know, ask me, and I’ll activate my hidden power for you.","If you want to know, ask me, and I’ll activate my hidden power for you."
Oui-hi-hi !,Woo-hoo-hoo!,Woo-hoo-hoo!,Woo-hoo-hoo!,Woo-hoo-hoo!,Woo-hoo-hoo!,Woo-hoo-hoo!
Je peux imiter le cri de n'importe quel Critter !\nlYoupi-li-pou !,I can mimic any Critter's cry!\nlYahoo-dee-lah!,I can mimic any Critter's cry!\nlYahoo-dee-lah!,I can mimic any Critter's cry!\nlYahoo-dee-lah!,I can mimic any Critter's cry!\nlYahoo-dee-lah!,I can mimic any Critter's cry!\nlYahoo-dee-lah!,I can mimic any Critter's cry!\nlYahoo-dee-lah!
Il va falloir attendre un peu avant que je puisse imiter ce Critter...,You'll have to wait a bit more before I can mimic this Critter's cry...,You'll have to wait a bit more before I can mimic this Critter's cry...,You'll have to wait a bit more before I can mimic this Critter's cry...,You'll have to wait a bit more before I can mimic this Critter's cry...,You'll have to wait a bit more before I can mimic this Critter's cry...,You'll have to wait a bit more before I can mimic this Critter's cry...
C'est le cri de \c[1][POKE] \c[0]! Oui-hi-hi ![WAIT 50],That's the cry of \c[1][POKE]\c[0]! Woo-hoo-hoo![WAIT 50],That's the cry of \c[1][POKE]\c[0]! Woo-hoo-hoo![WAIT 50],That's the cry of \c[1][POKE]\c[0]! Woo-hoo-hoo![WAIT 50],That's the cry of \c[1][POKE]\c[0]! Woo-hoo-hoo![WAIT 50],That's the cry of \c[1][POKE]\c[0]! Woo-hoo-hoo![WAIT 50],That's the cry of \c[1][POKE]\c[0]! Woo-hoo-hoo![WAIT 50]
Quelle douce mélodie !,What a nice melody!,What a nice melody!,What a nice melody!,What a nice melody!,What a nice melody!,What a nice melody!
Ah ! Te voilà !:[name=Prof. Seko]:,There you are!:[name=Professor Birch]:,There you are!:[name=Professor Birch]:,There you are!:[name=Professor Birch]:,There you are!:[name=Professor Birch]:,There you are!:[name=Professor Birch]:,There you are!:[name=Professor Birch]:
Le Staff nous a prévenu que tu viendrais.:[name=Prof. Seko]:,The Staff members told us you'd come.:[name=Professor Birch]:,The Staff members told us you'd come.:[name=Professor Birch]:,The Staff members told us you'd come.:[name=Professor Birch]:,The Staff members told us you'd come.:[name=Professor Birch]:,The Staff members told us you'd come.:[name=Professor Birch]:,The Staff members told us you'd come.:[name=Professor Birch]:
Tu as pu explorer un peu l'Île ?:[name=Prof. Seko]:,Were you able to explore the Island a little?:[name=Professor Birch]:,Were you able to explore the Island a little?:[name=Professor Birch]:,Were you able to explore the Island a little?:[name=Professor Birch]:,Were you able to explore the Island a little?:[name=Professor Birch]:,Were you able to explore the Island a little?:[name=Professor Birch]:,Were you able to explore the Island a little?:[name=Professor Birch]:
Tu as dû rencontrer toute une variété de Critter.:[name=Prof. Seko]:,You must have seen a whole variety of Critter.:[name=Professor Birch]:,You must have seen a whole variety of Critter.:[name=Professor Birch]:,You must have seen a whole variety of Critter.:[name=Professor Birch]:,You must have seen a whole variety of Critter.:[name=Professor Birch]:,You must have seen a whole variety of Critter.:[name=Professor Birch]:,You must have seen a whole variety of Critter.:[name=Professor Birch]:
Mais ! Il semblerait qu'on ait complètement oublié de te donner un Pokédex !:[name=Prof. Seko]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:,Wait! It looks like we forgot to give you a Pokédex!:[name=Professor Birch]:
Laisse-moi régler ça...:[name=Prof. Seko]:,Let me handle this...:[name=Professor Birch]:,Let me handle this...:[name=Professor Birch]:,Let me handle this...:[name=Professor Birch]:,Let me handle this...:[name=Professor Birch]:,Let me handle this...:[name=Professor Birch]:,Let me handle this...:[name=Professor Birch]:
\c[18]\N[1] reçoit le \c[27]Pokédex \c[18]de la part du Prof. Seko ! [WAIT 120],\c[18]\N[1] received the \c[27]Pokédex \c[18]from Professor Birch![WAIT 120],\c[18]\N[1] received the \c[27]Pokédex \c[18]from Professor Birch![WAIT 120],\c[18]\N[1] received the \c[27]Pokédex \c[18]from Professor Birch![WAIT 120],\c[18]\N[1] received the \c[27]Pokédex \c[18]from Professor Birch![WAIT 120],\c[18]\N[1] received the \c[27]Pokédex \c[18]from Professor Birch![WAIT 120],\c[18]\N[1] received the \c[27]Pokédex \c[18]from Professor Birch![WAIT 120]
C'est un outil très performant qui te permettra de collecter un tas d'informations sur les Critter que tu rencontres.:[name=Prof. Seko]:,It's a high-tech tool that automatically collects a bunch of data on Critter you've seen or caught.:[name=Professor Birch]:,It's a high-tech tool that automatically collects a bunch of data on Critter you've seen or caught.:[name=Professor Birch]:,It's a high-tech tool that automatically collects a bunch of data on Critter you've seen or caught.:[name=Professor Birch]:,It's a high-tech tool that automatically collects a bunch of data on Critter you've seen or caught.:[name=Professor Birch]:,It's a high-tech tool that automatically collects a bunch of data on Critter you've seen or caught.:[name=Professor Birch]:,It's a high-tech tool that automatically collects a bunch of data on Critter you've seen or caught.:[name=Professor Birch]:
N'hésite pas à venir me voir à mon bureau pour que je l'évalue.:[name=Prof. Seko]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:,Feel free to come to my desk to show me your Pokédex.:[name=Professor Birch]:
"Qui sait, je pourrais peut-être t'offrir quelque chose d'intéressant...:[name=Prof. Seko]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:","Who knows, I could offer you something interesting...:[name=Professor Birch]:"
Un lave-linge.\nlIl est équipé d'un étrange moteur.,It’s a washing machine.\nlIt has an odd-shaped motor on it.,It’s a washing machine.\nlIt has an odd-shaped motor on it.,It’s a washing machine.\nlIt has an odd-shaped motor on it.,It’s a washing machine.\nlIt has an odd-shaped motor on it.,It’s a washing machine.\nlIt has an odd-shaped motor on it.,It’s a washing machine.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du lave-linge...,[POKE] reluctantly gave up on entering the washing machine’s motor...,[POKE] reluctantly gave up on entering the washing machine’s motor...,[POKE] reluctantly gave up on entering the washing machine’s motor...,[POKE] reluctantly gave up on entering the washing machine’s motor...,[POKE] reluctantly gave up on entering the washing machine’s motor...,[POKE] reluctantly gave up on entering the washing machine’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
Rappeler,Recall,Recall,Recall,Recall,Recall,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Critter.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.
Un four à micro-ondes.\nlIl est équipé d'un étrange moteur.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.,It’s a microwave oven.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
Rappeler,Recall,Recall,Recall,Recall,Recall,Recall
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] est sorti du moteur.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.,[POKE] emerged from the motor.
Ça ne fonctionnera pas avec ce Critter.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.,That Critter can’t enter a motor.
Une tondeuse.\nlElle est équipée d'un étrange moteur.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.,It’s a lawn mower.\nlIt has an odd-shaped motor on it.
Voulez-vous faire sortir Motisma de sa Poké Ball ?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?,Do you want to let Rotom out of its Poké Ball?
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
[POKE] est entré dans le moteur.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.,[POKE] entered the motor.
[POKE] renonce malgré lui à entrer dans le moteur du ventilateur...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...,[POKE] reluctantly gave up on entering the rotary fan’s motor...
[POKE] reprend sa forme d'origine.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.,[POKE] returned to its original form.
Oh ? On dirait que [POKE] veut entrer dans le moteur.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.,Oh? [POKE] appears as if it wants to go into the motor.
Le laisser entrer dans le moteur ?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?,Allow it to enter the motor?
Rappeler,Recall,Recall,Recall,Recall,Recall,Recall
