en,fr,it,de,es,ko,kana
-,Critter Chovsouris,Critter Pipistrello,Fledermaus-Critter,Critter Murciélago,박쥐포켓몬,こうもりポケモン
-,Critter Chovsouris,Critter Pipistrello,Fledermaus-Critter,Critter Murciélago,박쥐포켓몬,こうもりポケモン
-,Critter Racine,Critter Malerba,Unkraut-Critter,Critter Hierbajo,잡초포켓몬,ざっそうポケモン
-,Critter Racine,Critter Malerba,Unkraut-Critter,Critter Hierbajo,잡초포켓몬,ざっそうポケモン
-,Critter Fleur,Critter Fiore,Blumen-Critter,Critter Flor,꽃포켓몬,フラワーポケモン
-,Critter Champignon,Critter Fungo,Pilz,Critter Hongo,버섯포켓몬,きのこポケモン
-,Critter Champignon,Critter Fungo,Pilz,Critter Hongo,버섯포켓몬,きのこポケモン
-,Critter Vermine,Critter Insetto,Insekt,Critter Insecto,곤충포켓몬,こんちゅうポケモン
-,Critter Papipoison,Critter Velentarma,Giftmotte,Critter Polilla Ven.,독나방포켓몬,どくがポケモン
-,Critter Taupe,Critter Talpa,Maulwurf-Critter,Critter Topo,두더지포켓몬,もぐらポケモン
-,Critter Taupe,Critter Talpa,Maulwurf-Critter,Critter Topo,두더지포켓몬,もぐらポケモン
-,Critter Chadégout,Critter Graffimiao,Katzen-Critter,Critter Gato Araña,요괴고양이포켓몬,ばけねこポケモン
-,Critter Chadeville,Critter Nobilgatto,Rassekatzen-Critter,Critter Gato Fino,샴고양이포켓몬,シャムネコポケモン
-,Critter Canard,Critter Papero,Enten-Critter,Critter Pato,오리포켓몬,あひるポケモン
-,Critter Canard,Critter Papero,Enten-Critter,Critter Pato,오리포켓몬,あひるポケモン
-,Critter Porsinge,Critter Suinpanzé,Schwein/Affe,Critter Mono Cerdo,돈숭이포켓몬,ぶたざるポケモン
-,Critter Porsinge,Critter Suinpanzé,Schwein/Affe,Critter Mono Cerdo,돈숭이포켓몬,ぶたざるポケモン
-,Critter Chiot,Critter Cagnolino,Welpen-Critter,Critter Perrito,강아지포켓몬,こいぬポケモン
-,Critter Légendaire,Critter Leggenda,Legendär-Critter,Critter Leyenda,전설포켓몬,でんせつポケモン
-,Critter Têtard,Critter Girino,Kaulquappen-Critter,Critter Renacuajo,올챙이포켓몬,おたまポケモン
-,Critter Têtard,Critter Girino,Kaulquappen-Critter,Critter Renacuajo,올챙이포켓몬,おたまポケモン
-,Critter Têtard,Critter Girino,Kaulquappen-Critter,Critter Renacuajo,올챙이포켓몬,おたまポケモン
Grub Critter,Critter Psy,Critter Psico,Psi-Critter,Critter Psi,초능력포켓몬,ねんりきポケモン
Rock Cocoon Critter,Critter Psy,Critter Psico,Psi-Critter,Critter Psi,초능력포켓몬,ねんりきポケモン
-,Critter Psy,Critter Psico,Psi-Critter,Critter Psi,초능력포켓몬,ねんりきポケモン
-,Critter Colosse,Critter Megaforza,Kraftprotz-Critter,Critter Superpoder,괴력포켓몬,かいりきポケモン
-,Critter Colosse,Critter Megaforza,Kraftprotz-Critter,Critter Superpoder,괴력포켓몬,かいりきポケモン
-,Critter Colosse,Critter Megaforza,Kraftprotz-Critter,Critter Superpoder,괴력포켓몬,かいりきポケモン
-,Critter Fleur,Critter Fiore,Blume,Critter Flor,꽃포켓몬,フラワーポケモン
-,Critter Carnivore,Critter Moschivoro,Fliegentod,Critter Matamoscas,파리잡이포켓몬,ハエとりポケモン
-,Critter Carnivore,Critter Moschivoro,Fliegentod,Critter Matamoscas,파리잡이포켓몬,ハエとりポケモン
-,Critter Mollusque,Critter Medusa,Quallen-Critter,Critter Medusa,해파리포켓몬,くらげポケモン
-,Critter Mollusque,Critter Medusa,Quallen-Critter,Critter Medusa,해파리포켓몬,くらげポケモン
-,Critter Roche,Critter Roccia,Gestein,Critter Roca,암석포켓몬,がんせきポケモン
-,Critter Roche,Critter Roccia,Gestein,Critter Roca,암석포켓몬,がんせきポケモン
-,Critter Titanesque,Critter Megatone,Urgestein,Critter Megatón,메가톤포켓몬,メガトンポケモン
-,Critter Cheval Feu,Critter Cavalfuoco,Feuerpferd-Critter,Critter Caballo Fuego,불의말포켓몬,ひのうまポケモン
-,Critter Cheval Feu,Critter Cavalfuoco,Feuerpferd-Critter,Critter Caballo Fuego,불의말포켓몬,ひのうまポケモン
-,Critter Crétin,Critter Ronfone,Schnarcher-Critter,Critter Atontado,얼간이포켓몬,まぬけポケモン
-,Critter Symbiose,Critter Paguro,Symbiose-Critter,Critter Ermitaño,기생포켓몬,やどかりポケモン
-,Critter Magnétique,Critter Calamita,Magnet-Critter,Critter Imán,자석포켓몬,じしゃくポケモン
-,Critter Magnétique,Critter Calamita,Magnet-Critter,Critter Imán,자석포켓몬,じしゃくポケモン
-,Critter Canard Fou,Critter Selvanatra,Wildenten-Critter,Critter Pato Salvaje,청둥오리포켓몬,かるがもポケモン
-,Critter Duoiseau,Critter Biuccello,Duovogel,Critter Ave Gemela,쌍둥이새포켓몬,ふたごどりポケモン
-,Critter Trioiseau,Critter Triuccello,Trivogel,Critter Ave Triple,세쌍둥이새포켓몬,みつごどりポケモン
-,Critter Otarie,Critter Otaria,Seehund,Critter León Marino,강치포켓몬,あしかポケモン
-,Critter Otarie,Critter Otaria,Seehund,Critter León Marino,강치포켓몬,あしかポケモン
-,Critter Dégueu,Critter Melma,Schlamm,Critter Lodo,진흙포켓몬,ヘドロポケモン
-,Critter Dégueu,Critter Melma,Schlamm,Critter Lodo,진흙포켓몬,ヘドロポケモン
-,Critter Bivalve,Critter Bivalve,Muschel-Critter,Critter Bivalvo,두조개포켓몬,２まいがいポケモン
-,Critter Bivalve,Critter Bivalve,Muschel-Critter,Critter Bivalvo,두조개포켓몬,２まいがいポケモン
-,Critter Gaz,Critter Gas,Gas-Critter,Critter Gas,가스포켓몬,ガスじょうポケモン
-,Critter Gaz,Critter Gas,Gas-Critter,Critter Gas,가스포켓몬,ガスじょうポケモン
-,Critter Ombre,Critter Ombra,Schatten-Critter,Critter Sombra,그림자포켓몬,シャドーポケモン
-,Critter Serpenroc,Critter Serpesasso,Felsnatter-Critter,Critter Serpiente Roca,돌뱀포켓몬,いわへびポケモン
-,Critter Hypnose,Critter Ipnosi,Hypnose,Critter Hipnosis,최면포켓몬,さいみんポケモン
-,Critter Hypnose,Critter Ipnosi,Hypnose,Critter Hipnosis,최면포켓몬,さいみんポケモン
-,Critter Doux Crabe,Critter Granchio,Krabben-Critter,Critter Cangrejo,게포켓몬,さわがにポケモン
-,Critter Pince,Critter Chela,Kneifer-Critter,Critter Tenaza,집게포켓몬,はさみポケモン
-,Critter Balle,Critter Ball,Ball,Critter Bola,볼포켓몬,ボールポケモン
-,Critter Balle,Critter Ball,Ball,Critter Bola,볼포켓몬,ボールポケモン
-,Critter Œuf,Critter Uovo,Ei-Critter,Critter Huevo,알포켓몬,たまごポケモン
-,Critter Fruitpalme,Critter Nocecocco,Palmfrucht-Critter,Critter Coco,야자열매포켓몬,やしのみポケモン
-,Critter Solitaire,Critter Solitario,Einsam-Critter,Critter Solitario,고독포켓몬,こどくポケモン
-,Critter Gard’Os,Critter Guardaossi,Knochenfan-Critter,Critter Apilahueso,뼈다귀포켓몬,ほねずきポケモン
-,Critter Latteur,Critter Tiracalci,Kicker-Critter,Critter Patada,킥포켓몬,キックポケモン
-,Critter Puncheur,Critter Tirapugni,Puncher-Critter,Critter Puñetazo,펀치포켓몬,パンチポケモン
-,Critter Lécheur,Critter Linguaccia,Schlecker-Critter,Critter Lametazo,핥기포켓몬,なめまわしポケモン
-,Critter Gaz Mortel,Critter Velenuvola,Giftwolken-Critter,Critter Gas Venenoso,독가스포켓몬,どくガスポケモン
-,Critter Gaz Mortel,Critter Velenuvola,Giftwolken-Critter,Critter Gas Venenoso,독가스포켓몬,どくガスポケモン
-,Critter Piquant,Critter Punzoni,Stachler-Critter,Critter Clavos,뿔포켓몬,とげとげポケモン
-,Critter Perceur,Critter Trapano,Bohrer-Critter,Critter Taladro,드릴포켓몬,ドリルポケモン
-,Critter Œuf,Critter Uovo,Ei-Critter,Critter Huevo,알포켓몬,たまごポケモン
-,Critter Vigne,Critter Liana,Ranken-Critter,Critter Enredadera,넝쿨포켓몬,ツルじょうポケモン
-,Critter Maternel,Critter Genitore,Muttertier-Critter,Critter Maternal,가족포켓몬,おやこポケモン
-,Critter Dragon,Critter Drago,Drachen-Critter,Critter Dragón,드래곤포켓몬,ドラゴンポケモン
-,Critter Dragon,Critter Drago,Drachen-Critter,Critter Dragón,드래곤포켓몬,ドラゴンポケモン
-,Critter Poisson,Critter Pescerosso,Goldfisch-Critter,Critter Pez Color,금붕어포켓몬,きんぎょポケモン
-,Critter Poisson,Critter Pescerosso,Goldfisch-Critter,Critter Pez Color,금붕어포켓몬,きんぎょポケモン
-,Critter Étoile,Critter Stella,Sternform-Critter,Critter Estrella,별포켓몬,ほしがたポケモン
-,Critter Mystérieux,Critter Misterioso,Mysteriös-Critter,Critter Misterioso,수수께끼포켓몬,なぞのポケモン
-,Critter Bloqueur,Critter Barriera,Sperren-Critter,Critter Barrera,배리어포켓몬,バリアーポケモン
Herbal Mushroom Critter,Critter Mante,Critter Mantide,Mantis-Critter,Critter Mantis,버마재비포켓몬,かまきりポケモン
-,Critter Humanoïde,Critter Umanoide,Humanotyp-Critter,Critter Forma Humana,인간형태포켓몬,ひとがたポケモン
-,Critter Électrique,Critter Elettrico,Elektro-Critter,Critter Eléctrico,전기포켓몬,でんげきポケモン
-,Critter Crache-Feu,Critter Sputafuoco,Brenner-Critter,Critter Escupefuego,불뿜기포켓몬,ひふきポケモン
Stag Beetle Critter,Critter Scarabée,Critter Cervolante,Kneifkäfer-Critter,Critter Escarabajo,뿔집게포켓몬,くわがたポケモン
Wild Bull Critter,Critter Buffle,Critter Torobrado,Wildbullen-Critter,Critter Toro Bravo,성난소포켓몬,あばれうしポケモン
Fish Critter,Critter Poisson,Critter Pesce,Fisch-Critter,Critter Pez,물고기포켓몬,さかなポケモン
Atrocious Critter,Critter Terrifiant,Critter Atroce,Grausam-Critter,Critter Atrocidad,흉악포켓몬,きょうあくポケモン
Transport Critter,Critter Transport,Critter Trasporto,Transport-Critter,Critter Transporte,탈것포켓몬,のりものポケモン
Transform Critter,Critter Morphing,Critter Mutante,Transform-Critter,Critter Transformación,변신포켓몬,へんしんポケモン
Evolution Critter,Critter Évolutif,Critter Evoluzione,Evolutions-Critter,Critter Evolución,진화포켓몬,しんかポケモン
Bubble Jet Critter,Critter Bulleur,Critter Bollajet,Blubbblasen-Critter,Critter Burbuja,거품뿜기포켓몬,あわはきポケモン
Lightning Critter,Critter Orage,Critter Luminoso,Blitz-Critter,Critter Relámpago,번개포켓몬,かみなりポケモン
Flame Critter,Critter Flamme,Critter Fiamma,Feuer-Critter,Critter Llama,불꽃포켓몬,ほのおポケモン
Virtual Critter,Critter Virtuel,Critter Virtuale,Virtuell-Critter,Critter Virtual,가상포켓몬,バーチャルポケモン
Spiral Critter,Critter Spirale,Critter Spirale,Spiralen-Critter,Critter Espiral,소용돌이포켓몬,うずまきポケモン
Spiral Critter,Critter Spirale,Critter Spirale,Spiralen-Critter,Critter Espiral,소용돌이포켓몬,うずまきポケモン
Shellfish Critter,Critter Carapace,Critter Crostaceo,Schaltier-Critter,Critter Armazón,껍질포켓몬,こうらポケモン
Shellfish Critter,Critter Carapace,Critter Crostaceo,Schaltier-Critter,Critter Armazón,껍질포켓몬,こうらポケモン
Fossil Critter,Critter Fossile,Critter Fossile,Fossil-Critter,Critter Fósil,화석포켓몬,かせきポケモン
Sleeping Critter,Critter Pionceur,Critter Sonno,Tagträumer-Critter,Critter Dormir,졸음포켓몬,いねむりポケモン
Freeze Critter,Critter Glaciaire,Critter Gelo,Eis-Critter,Critter Congelar,냉동포켓몬,れいとうポケモン
Electric Critter,Critter Électrique,Critter Elettrico,Elektro-Critter,Critter Eléctrico,전기포켓몬,でんげきポケモン
Flame Critter,Critter Flamme,Critter Fiamma,Flammen-Critter,Critter Llama,화염포켓몬,かえんポケモン
Dragon Critter,Critter Dragon,Critter Drago,Drachen-Critter,Critter Dragón,드래곤포켓몬,ドラゴンポケモン
Dragon Critter,Critter Dragon,Critter Drago,Drachen-Critter,Critter Dragón,드래곤포켓몬,ドラゴンポケモン
Dragon Critter,Critter Dragon,Critter Drago,Drachen-Critter,Critter Dragón,드래곤포켓몬,ドラゴンポケモン
Genetic Critter,Critter Génétique,Critter Genetico,Genmutanten-Critter,Critter Genético,유전포켓몬,いでんしポケモン
New Species Critter,Critter Nouveau,Critter Novaspecie,Neue Art-Critter,Critter Nueva Especie,신종포켓몬,しんしゅポケモン
Leaf Critter,Critter Feuille,Critter Foglia,Laub,Critter Hoja,잎사귀포켓몬,はっぱポケモン
Leaf Critter,Critter Feuille,Critter Foglia,Laub,Critter Hoja,잎사귀포켓몬,はっぱポケモン
Herb Critter,Critter Herbe,Critter Erbe,Kräuter,Critter Hierba,허브포켓몬,ハーブポケモン
Fire Mouse Critter,Critter Souris Feu,Critter Fuocotopo,Feuermaus,Critter Ratón Fuego,불쥐포켓몬,ひねずみポケモン
Volcano Critter,Critter Volcan,Critter Vulcano,Vulkan,Critter Volcán,화산포켓몬,かざんポケモン
Volcano Critter,Critter Volcan,Critter Vulcano,Vulkan,Critter Volcán,화산포켓몬,かざんポケモン
Big Jaw Critter,Critter Mâchoire,Critter Mascellone,Großmaul,Critter Fauces,큰턱포켓몬,おおあごポケモン
Big Jaw Critter,Critter Mâchoire,Critter Mascellone,Großmaul,Critter Fauces,큰턱포켓몬,おおあごポケモン
Big Jaw Critter,Critter Mâchoire,Critter Mascellone,Großmaul,Critter Fauces,큰턱포켓몬,おおあごポケモン
Scout Critter,Critter Espion,Critter Esplorante,Späher,Critter Explorador,망보기포켓몬,みはりポケモン
Long Body Critter,Critter Allongé,Critter Lungocorpo,Langleib,Critter Alargado,긴몸통포켓몬,どうながポケモン
Owl Critter,Critter Hibou,Critter Gufo,Eulen-Critter,Critter Búho,부엉이포켓몬,ふくろうポケモン
Owl Critter,Critter Hibou,Critter Gufo,Eulen-Critter,Critter Búho,부엉이포켓몬,ふくろうポケモン
Five Star Critter,Critter 5 Étoiles,Critter Pentastra,Fünf-Punkt,Critter 5 Estrellas,별다섯포켓몬,いつつぼしポケモン
Five Star Critter,Critter 5 Étoiles,Critter Pentastra,Fünf-Punkt,Critter 5 Estrellas,별다섯포켓몬,いつつぼしポケモン
String Spit Critter,Critter Crache Fil,Critter Tela,Fadenwurf,Critter Escupesoga,실뿜기포켓몬,いとはきポケモン
Long Leg Critter,Critter Long-Patte,Critter Lungazampa,Langbein,Critter Pata Larga,롱다리포켓몬,あしながポケモン
Bat Critter,Critter Chovsouris,Critter Pipistrello,Fledermaus-Critter,Critter Murciélago,박쥐포켓몬,こうもりポケモン
Angler Critter,Critter Poisson,Critter Pescatore,Angler-Critter,Critter Rape,아귀포켓몬,あんこうポケモン
Light Critter,Critter Lumière,Critter Luce,Leuchten-Critter,Critter Luz,라이트포켓몬,ライトポケモン
Tiny Mouse Critter,Critter Minisouris,Critter Topino,Babymaus-Critter,Critter Ratoncito,아기쥐포켓몬,こねずみポケモン
Star Shape Critter,Critter Étoile,Critter Stella,Sternform-Critter,Critter Estrella,별포켓몬,ほしがたポケモン
Balloon Critter,Critter Bouboule,Critter Pallone,Ballon-Critter,Critter Globo,풍선포켓몬,ふうせんポケモン
Spike Ball Critter,Critter Balle Pic,Critter Pallapunte,Zackenball-Critter,Critter Bolaclavos,바늘알포켓몬,はりたまポケモン
Happiness Critter,Critter Bonheur,Critter Felicità,Freuden-Critter,Critter Felicidad,행복포켓몬,しあわせポケモン
Tiny Bird Critter,Critter Minoiseau,Critter Uccellino,Kleinvogel-Critter,Critter Pajarito,아기새포켓몬,ことりポケモン
Mystic Critter,Critter Mystique,Critter Magico,Mystik-Critter,Critter Místico,정령포켓몬,せいれいポケモン
Wool Critter,Critter Laine,Critter Lana,Wolle,Critter Lana,솜털포켓몬,わたげポケモン
Wool Critter,Critter Laine,Critter Lana,Wolle,Critter Lana,솜털포켓몬,わたげポケモン
Light Critter,Critter Lumière,Critter Luce,Leuchte,Critter Luz,라이트포켓몬,ライトポケモン
Flower Critter,Critter Fleur,Critter Fiore,Blumen-Critter,Critter Flor,꽃포켓몬,フラワーポケモン
Aqua Mouse Critter,Critter Aquasouris,Critter Acquatopo,Aquamaus-Critter,Critter Ratón Agua,물쥐포켓몬,みずねずみポケモン
Aqua Rabbit Critter,Critter Aqualapin,Critter Acquniglio,Aquahasen-Critter,Critter Conejo Agua,물토끼포켓몬,みずうさぎポケモン
Imitation Critter,Critter Imitation,Critter Imitazione,Imitations-Critter,Critter Imitación,흉내포켓몬,まねポケモン
Frog Critter,Critter Grenouille,Critter Rana,Frosch-Critter,Critter Rana,개구리포켓몬,かえるポケモン
Cottonweed Critter,Critter Pissenlit,Critter Gramigna,Löwenzahn,Critter Algadón,솜풀포켓몬,わたくさポケモン
Cottonweed Critter,Critter Pissenlit,Critter Gramigna,Löwenzahn,Critter Algadón,솜풀포켓몬,わたくさポケモン
Cottonweed Critter,Critter Pissenlit,Critter Gramigna,Löwenzahn,Critter Algadón,솜풀포켓몬,わたくさポケモン
Long Tail Critter,Critter Longqueue,Critter Lungacoda,Langschweif,Critter Cola Larga,긴꼬리포켓몬,おながポケモン
Seed Critter,Critter Graine,Critter Seme,Samen,Critter Semilla,씨앗포켓몬,たねポケモン
Sun Critter,Critter Soleil,Critter Sole,Sonne,Critter Sol,태양포켓몬,たいようポケモン
Clear Wing Critter,Critter Translaile,Critter Alachiara,Libelle,Critter Ala Clara,얇은날개포켓몬,うすばねポケモン
Water Fish Critter,Critter Poisson,Critter Acquapesce,Fisch-Critter,Critter Pez Agua,수어포켓몬,みずうおポケモン
Water Fish Critter,Critter Poisson,Critter Acquapesce,Fisch-Critter,Critter Pez Agua,수어포켓몬,みずうおポケモン
Sun Critter,Critter Soleil,Critter Sole,Sonnen-Critter,Critter Sol,태양포켓몬,たいようポケモン
Moonlight Critter,Critter Lune,Critter Lucelunare,Mondschein-Critter,Critter Luz Lunar,달빛포켓몬,げっこうポケモン
Darkness Critter,Critter Obscurité,Critter Oscurità,Finsternis,Critter Oscuridad,어둠포켓몬,くらやみポケモン
Royal Critter,Critter Royal,Critter Reale,Monarchen-Critter,Critter Regio,임금포켓몬,おうじゃポケモン
Screech Critter,Critter Strident,Critter Strido,Kreischer,Critter Chirrido,야명포켓몬,よなきポケモン
Symbol Critter,Critter Symbolique,Critter Simbolo,Symbol,Critter Símbolo,심볼포켓몬,シンボルポケモン
Patient Critter,Critter Patient,Critter Pazienza,Gedulds-Critter,Critter Paciente,참기포켓몬,がまんポケモン
Long Neck Critter,Critter Long-Cou,Critter Lungocollo,Langhals,Critter Gran Cuello,긴목포켓몬,くびながポケモン
Bagworm Critter,Critter Ver Caché,Critter Larva,Beutelwurm,Critter Larva,도롱이벌레포켓몬,みのむしポケモン
Bagworm Critter,Critter Ver Caché,Critter Larva,Beutelwurm,Critter Larva,도롱이벌레포켓몬,みのむしポケモン
Land Snake Critter,Critter Serpent,Critter Terraserpe,Schlangen-Critter,Critter Serpiente Tierra,땅뱀포켓몬,つちへびポケモン
Fly Scorpion Critter,Critter Scorpivol,Critter Aliscorpio,Flugskorpi,Critter Escorpiala,날전갈포켓몬,とびさそりポケモン
Iron Snake Critter,Critter Serpenfer,Critter Ferroserpe,Stahlboa-Critter,Critter Serpiente Férrea,철뱀포켓몬,てつへびポケモン
Fairy Critter,Critter Fée,Critter Fata,Fee,Critter Hada,요정포켓몬,ようせいポケモン
Fairy Critter,Critter Fée,Critter Fata,Fee,Critter Hada,요정포켓몬,ようせいポケモン
Balloon Critter,Critter Bouboule,Critter Pallone,Ballon-Critter,Critter Globo,풍선포켓몬,ふうせんポケモン
Pincer Critter,Critter Pince,Critter Chela,Kneifer-Critter,Critter Tenaza,집게포켓몬,はさみポケモン
Mold Critter,Critter Pourri,Critter Muffa,Schimmel-Critter,Critter Moho,발효포켓몬,はっこうポケモン
Single Horn Critter,Critter Unicorne,Critter Monocorno,Einzelhorn-Critter,Critter Cuerno,외뿔포켓몬,１ぽんヅノポケモン
Sharp Claw Critter,Critter Grifacérée,Critter Lamartigli,Stichklauen-Critter,Critter Garra Filo,갈고리손톱포켓몬,かぎづめポケモン
Little Bear Critter,Critter Mini Ours,Critter Orsetto,Kleinbär,Critter Osito,아기곰포켓몬,こぐまポケモン
Hibernator Critter,Critter Hibernant,Critter Letargo,Schläfer,Critter Hibernante,동면포켓몬,とうみんポケモン
Lava Critter,Critter Lave,Critter Lava,Lava,Critter Lava,용암포켓몬,ようがんポケモン
Lava Critter,Critter Lave,Critter Lava,Lava,Critter Lava,용암포켓몬,ようがんポケモン
Pig Critter,Critter Cochon,Critter Maiale,Ferkel-Critter,Critter Cerdo,산돼지포켓몬,いのぶたポケモン
Swine Critter,Critter Porc,Critter Suino,Schwein-Critter,Critter Puerco,멧돼지포켓몬,いのししポケモン
Coral Critter,Critter Corail,Critter Corallo,Korallen-Critter,Critter Coral,산호포켓몬,さんごポケモン
Jet Critter,Critter Jet,Critter Jet,Hochdruck-Critter,Critter Reactor,분사포켓몬,ふんしゃポケモン
Jet Critter,Critter Jet,Critter Jet,Hochdruck-Critter,Critter Reactor,분사포켓몬,ふんしゃポケモン
Delivery Critter,Critter Livraison,Critter Consegna,Lieferanten-Critter,Critter Reparto,배달포켓몬,はこびやポケモン
Kite Critter,Critter Cervolant,Critter Aquilone,Flugrochen-Critter,Critter Milano,연포켓몬,カイトポケモン
Armor Bird Critter,Critter Armoiseau,Critter Armuccello,Flugstahl-Critter,Critter Coraza Ave,갑옷새포켓몬,よろいどりポケモン
Dark Critter,Critter Sombre,Critter Buio,Hades,Critter Siniestro,다크포켓몬,ダークポケモン
Dark Critter,Critter Sombre,Critter Buio,Hades,Critter Siniestro,다크포켓몬,ダークポケモン
Dragon Critter,Critter Dragon,Critter Drago,Drachen-Critter,Critter Dragón,드래곤포켓몬,ドラゴンポケモン
Long Nose Critter,Critter Long-Nez,Critter Nasone,Langrüssel,Critter Narizotas,긴코포켓몬,ながはなポケモン
Armor Critter,Critter Armure,Critter Armatura,Panzer,Critter Coraza,갑옷포켓몬,よろいポケモン
Virtual Critter,Critter Virtuel,Critter Virtuale,Virtuell-Critter,Critter Virtual,가상포켓몬,バーチャルポケモン
Big Horn Critter,Critter Maxi Corne,Critter Grancorno,Vielender,Critter Gran Cuerno,큰뿔포켓몬,おおツノポケモン
Painter Critter,Critter Peintre,Critter Pittore,Maler,Critter Pintor,그림장이포켓몬,えかきポケモン
Scuffle Critter,Critter Bagarreur,Critter Baruffa,Racker-Critter,Critter Peleón,싸움포켓몬,けんかポケモン
Handstand Critter,Critter Poirier,Critter Verticale,Kopfstand-Critter,Critter Boca Abajo,물구나무포켓몬,さかだちポケモン
Kiss Critter,Critter Bisou,Critter Bacio,Kuss-Critter,Critter Beso,뽀뽀포켓몬,くちづけポケモン
Electric Critter,Critter Électrique,Critter Elettrico,Elektro-Critter,Critter Eléctrico,전류포켓몬,でんきポケモン
Live Coal Critter,Critter Charbon,Critter Carbonvivo,Glutherd-Critter,Critter Ascuas,불씨포켓몬,ひだねポケモン
