en,fr,it,de,es,ko,kana
[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)],[VAR COLOR(0001)]♀[VAR COLOR(0000)]
Choose a Critter.,Veuillez choisir un Critter.,Scegli un Critter.,Wähle ein Critter.,Elige un Critter.,포켓몬을 선택해 주십시오,ポケモンを　えらんでください
Choose a Critter.,Veuillez choisir un Critter.,Scegli un Critter.,Wähle ein Critter.,Elige un Critter.,포켓몬을 선택해 주십시오,ポケモンを　えらんでください
Move which Critter?,Quel Critter voulez-vous déplacer ?,Quale Critter vuoi spostare?,Welches Critter willst du bewegen?,¿Qué Critter quieres mover?,어느 포켓몬을 이동할까?,どのポケモンを　いどうする？
Move which item?,Quel objet voulez-vous déplacer ?,Quale strumento vuoi spostare?,Welches Item möchtest du bewegen?,¿Qué objeto quieres mover?,어느 지닌물건을 이동할까?,どの　もちものを　いどうする？
Move to where?,Avec qui doit-il changer de place ?,Dove vuoi spostarlo?,An welche Stelle möchtest du es setzen?,¿En qué posición quieres que esté?,어디와 교체할까?,どこと　いれかえる？
Move to where?,Où voulez-vous placer cet objet ?,Dove vuoi spostare lo strumento?,An welche Stelle möchtest du es setzen?,¿Pasar a qué Critter?,어디와 교체할까?,どこと　いれかえる？
Give to which Critter?,Quel Critter va tenir l’objet ?,A chi vuoi dare lo strumento?,Welchem Critter zum Tragen geben?,¿A qué Critter quieres darle el objeto?,어느 포켓몬에게 건네줄까?,どのポケモンに　もたせる？
Use on which Critter?,Sur quel Critter voulez-vous l’utiliser ?,Su quale Critter vuoi usarlo?,Auf welches Critter anwenden?,¿Con qué Critter quieres usarlo?,어느 포켓몬에게 사용할까?,どのポケモンに　つかう？
Teach which Critter?,Quel Critter va l’apprendre ?,A chi vuoi insegnarla?,Welchem Critter beibringen?,¿A qué Critter quieres enseñárselo?,어느 포켓몬에게 가르칠까?,どのポケモンに　おしえる？
Choose Critter and confirm.,Confirmer le choix du Critter.,Scegli un Critter e conferma.,Wähle ein Critter und bestätige.,Elige Critter y confirma.,포켓몬을 선택하고 결정,ポケモンをえらんで　けってい
Deposit which Critter?,Quel Critter voulez-vous déposer ?,Quale Critter vuoi affidare?,Welches Critter möchtest du ablegen?,¿Qué Critter quieres dejar?,어느 포켓몬을 맡길까?,どのポケモンを　あずける？
Use on which Critter?,Sur quel Critter voulez-vous l’utiliser ?,Su quale Critter vuoi usarla?,Auf welches Critter anwenden?,¿Con qué Critter quieres usarlo?,어느 포켓몬에게 사용할까?,どのポケモンに　つかう？
[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29],[~ 29]
Do what with [VAR PKNICK(0000)]?,[VAR PKNICK(0000)] sélectionné.,Critter selezionato: [VAR PKNICK(0000)],[VAR PKNICK(0000)] wurde ausgewählt. Was nun?,[VAR PKNICK(0000)] ha sido seleccionado.,[VAR PKNICK(0000)][VAR 1900(0002)] 어떻게 할까?,[VAR PKNICK(0000)]を どうする？
Which move should [VAR PKNICK(0000)] use?,Quelle capacité voulez-vous que [VAR PKNICK(0000)] utilise ?,Quale mossa vuoi che usi [VAR PKNICK(0000)]?,Welche Terrain-Attacke soll [VAR PKNICK(0000)] einsetzen?,¿Qué movimiento ha de usar [VAR PKNICK(0000)]?,[VAR PKNICK(0000)][VAR 1900(0001)] 어느 기술을 사용할까?,[VAR PKNICK(0000)]は どのわざを　つかう？
[~ 32],[~ 32],[~ 32],[~ 32],[~ 32],[~ 32],[~ 32]
[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33],[~ 33]
Restore PP to which move?,Quelle capacité voulez-vous restaurer ?,Quale mossa vuoi ricaricare?,Welche Attacke soll aufgefüllt werden?,¿Qué movimiento quieres restaurar?,어느 기술을 회복할까?,どのわざを かいふくする？
Boost the PP of which move?,De quelle capacité voulez-vous augmenter les PP ?,Quale mossa vuoi potenziare?,AP welcher Attacke anheben?,¿De qué movimiento quieres aumentar los PP?,어느 기술을 늘릴까?,どのわざを ふやす？
You can choose an item in the Bag and use it or give it to a Critter.,Permet de choisir dans votre Sac un objet à utiliser ou à faire tenir à un Critter.,Scegli uno strumento dalla Borsa per usarlo o darlo a un Critter.,Wähle ein Item aus dem Beutel aus und benutze es oder gib es einem Critter.,Puedes elegir un objeto de la Bolsa para usarlo o para dárselo a un Critter.,가방에서 도구를 선택하여 사용하거나 지니게 할 수 있습니다,バッグから　どうぐを　えらんで つかったり　もたせたり　できます
You can take an item that a Critter is holding and put it back in the Bag.,Permet de ranger dans le Sac l’objet tenu par le Critter.,Metti lo strumento del Critter nella Borsa.,"Lege ein Item, mit dem ein Critter ausgestattet ist, in den Beutel zurück.",Puedes quitarle al Critter el objeto que lleva y guardarlo en la Bolsa.,포켓몬이 지니고 있는 도구를 가방에 다시 넣습니다,ポケモンが　もっている　どうぐを バッグに　もどします
You can move an item that a Critter is holding.,Permet de déplacer l’objet tenu par un Critter.,Sposta lo strumento del Critter.,"Gib ein Item, mit dem ein Critter ausgestattet ist, einem anderen Critter.",Puedes pasarle el objeto que lleva a otro Critter.,포켓몬이 지니고 있는 도구를 이동시킬 수 있습니다,ポケモンが　もっている　どうぐを いどうすることが　できます
[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39],[~ 39]
[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40],[~ 40]
[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41],[~ 41]
[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42],[~ 42]
[~ 43],[~ 43],[~ 43],[~ 43],[~ 43],[~ 43],[~ 43]
[~ 44],[~ 44],[~ 44],[~ 44],[~ 44],[~ 44],[~ 44]
[~ 45],[~ 45],[~ 45],[~ 45],[~ 45],[~ 45],[~ 45]
[~ 46],[~ 46],[~ 46],[~ 46],[~ 46],[~ 46],[~ 46]
[~ 47],[~ 47],[~ 47],[~ 47],[~ 47],[~ 47],[~ 47]
[~ 48],[~ 48],[~ 48],[~ 48],[~ 48],[~ 48],[~ 48]
[~ 49],[~ 49],[~ 49],[~ 49],[~ 49],[~ 49],[~ 49]
[~ 50],[~ 50],[~ 50],[~ 50],[~ 50],[~ 50],[~ 50]
[~ 51],[~ 51],[~ 51],[~ 51],[~ 51],[~ 51],[~ 51]
[~ 52],[~ 52],[~ 52],[~ 52],[~ 52],[~ 52],[~ 52]
[~ 53],[~ 53],[~ 53],[~ 53],[~ 53],[~ 53],[~ 53]
[~ 54],[~ 54],[~ 54],[~ 54],[~ 54],[~ 54],[~ 54]
[~ 55],[~ 55],[~ 55],[~ 55],[~ 55],[~ 55],[~ 55]
[~ 56],[~ 56],[~ 56],[~ 56],[~ 56],[~ 56],[~ 56]
[~ 57],[~ 57],[~ 57],[~ 57],[~ 57],[~ 57],[~ 57]
[~ 58],[~ 58],[~ 58],[~ 58],[~ 58],[~ 58],[~ 58]
[~ 59],[~ 59],[~ 59],[~ 59],[~ 59],[~ 59],[~ 59]
"[VAR PKNICK(0000)]’s HP was restored by [VAR NUM3(0001)] point[VAR NUMBRNCH(0001,0100)]s.",[VAR PKNICK(0000)] récupère [VAR NUM3(0001)] PV.,[VAR PKNICK(0000)] ha recuperato [VAR NUM3(0001)] PS.,"Die KP von [VAR PKNICK(0000)] wurden um [VAR NUM3(0001)] Punkt[VAR NUMBRNCH(0001,0100)]e aufgefüllt!",[VAR PKNICK(0000)] ha recuperado [VAR NUM3(0001)] PS.,[VAR PKNICK(0000)]의 체력이 [VAR NUM3(0001)] 회복되었다!,[VAR PKNICK(0000)]の　たいりょくが [VAR NUM3(0001)]　かいふくした！
[~ 61],[~ 61],[~ 61],[~ 61],[~ 61],[~ 61],[~ 61]
[~ 62],[~ 62],[~ 62],[~ 62],[~ 62],[~ 62],[~ 62]
[~ 63],[~ 63],[~ 63],[~ 63],[~ 63],[~ 63],[~ 63]
[~ 64],[~ 64],[~ 64],[~ 64],[~ 64],[~ 64],[~ 64]
[~ 65],[~ 65],[~ 65],[~ 65],[~ 65],[~ 65],[~ 65]
[~ 66],[~ 66],[~ 66],[~ 66],[~ 66],[~ 66],[~ 66]
[~ 67],[~ 67],[~ 67],[~ 67],[~ 67],[~ 67],[~ 67]
[~ 68],[~ 68],[~ 68],[~ 68],[~ 68],[~ 68],[~ 68]
[~ 69],[~ 69],[~ 69],[~ 69],[~ 69],[~ 69],[~ 69]
[~ 70],[~ 70],[~ 70],[~ 70],[~ 70],[~ 70],[~ 70]
[~ 71],[~ 71],[~ 71],[~ 71],[~ 71],[~ 71],[~ 71]
This can’t be used until a new Gym Badge is obtained.,Vous devez obtenir un autre Badge pour pouvoir l’utiliser.,Devi prima ottenere un’altra Medaglia!,"Dies ist erst einsetzbar, wenn ein neuer Orden errungen wurde.","Para poder hacer eso, necesitas ganar una nueva medalla.",새로운 배지를 얻을 때까지 아직 쓸 수 없습니다,あたらしい　バッジを　てにするまで まだ　つかえません
[~ 73],[~ 73],[~ 73],[~ 73],[~ 73],[~ 73],[~ 73]
[~ 74],[~ 74],[~ 74],[~ 74],[~ 74],[~ 74],[~ 74]
[~ 75],[~ 75],[~ 75],[~ 75],[~ 75],[~ 75],[~ 75]
[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76],[~ 76]
[VAR PKNICK(0000)] isn’t holding anything.,[VAR PKNICK(0000)] ne tient rien.,[VAR PKNICK(0000)] non ha nessuno strumento!,[VAR PKNICK(0000)] trägt kein Item bei sich.,[VAR PKNICK(0000)] no lleva ningún objeto.,[VAR PKNICK(0000)][VAR 1900(0001)] 도구를 아무것도 지니고 있지 않습니다!,[VAR PKNICK(0000)]は　どうぐを なにも　もっていません！
Received the [VAR ITEM2(0001)] from [VAR PKNICK(0000)].,[VAR PKNICK(0000)] vous a remis [VAR 1400(0001)][VAR ITEM2(0001)] !,Hai preso [VAR 1500(0001)][VAR ITEM2(0001)] di [VAR PKNICK(0000)]!,[VAR ITEM2(0001)] von [VAR PKNICK(0000)] erhalten.,¡Has recibido [VAR 1700(0001)][VAR ITEM2(0001)] de [VAR PKNICK(0000)]!,[VAR PKNICK(0000)][VAR 1900(0005)]로부터 [VAR ITEM2(0001)][VAR 1900(0002)] 가져왔습니다!,[VAR PKNICK(0000)]から [VAR ITEM2(0001)]を　あずかりました！
You can’t carry any more of this item.,Vous ne pouvez pas porter plus d’exemplaires de cet objet.,Hai raggiunto il limite per questo oggetto!,Du hast keinen Platz dafür!,No te caben más en la Bolsa.,가방이 가득 차서 도구를 받을 수 없습니다!,バッグが　いっぱいで どうぐを　うけとれません！
"The [VAR ITEM2(0001)] w[VAR NUMBRNCH(0001,0302)]asere taken and replaced with the [VAR ITEM2(0002)].",Il vous a donné [VAR 1400(0001)][VAR ITEM2(0001)] et a pris [VAR 1400(0002)][VAR ITEM2(0002)] !,Hai sostituito [VAR 1500(0001)][VAR ITEM2(0001)] con [VAR 1500(0002)][VAR ITEM2(0002)]!,"[VAR ITEM2(0001)] wurde[VAR NUMBRNCH(0001,0100)]n gegen [VAR ITEM2(0002)] ausgetauscht.",¡Le has quitado [VAR 1700(0001)][VAR ITEM2(0001)] y le has dado [VAR 1700(0002)][VAR ITEM2(0002)]!,[VAR ITEM2(0001)][VAR 1900(0002)] 가져오고 [VAR ITEM2(0002)][VAR 1900(0002)] 건네주었습니다!,[VAR ITEM2(0001)]を　あずかり [VAR ITEM2(0002)]を　もたせました！
[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81],[~ 81]
[~ 82],[~ 82],[~ 82],[~ 82],[~ 82],[~ 82],[~ 82]
[~ 83],[~ 83],[~ 83],[~ 83],[~ 83],[~ 83],[~ 83]
Cancel your challenge?,Voulez-vous annuler votre défi ?,Vuoi abbandonare la sfida?,Möchtest du die Herausforderung abbrechen?,¿Quieres cancelar el desafío?,도전을 그만두겠습니까?,ちょうせんを　やめますか？
YES,Oui,Sì,Ja,Sí,예,はい
NO,Non,No,Nein,No,아니요,いいえ
[~ 87],[~ 87],[~ 87],[~ 87],[~ 87],[~ 87],[~ 87]
[~ 88],[~ 88],[~ 88],[~ 88],[~ 88],[~ 88],[~ 88]
YES,Oui,Sì,Ja,Sí,예,はい
NO,Non,No,Nein,No,아니요,いいえ
[~ 91],[~ 91],[~ 91],[~ 91],[~ 91],[~ 91],[~ 91]
YES,Oui,Sì,Ja,Sí,예,はい
NO,Non,No,Nein,No,아니요,いいえ
No more than two Critter may enter.,Seuls deux Critter peuvent participer.,Non possono partecipare più di due Critter!,Es können nicht mehr als zwei Critter teilnehmen.,No pueden participar más de dos Critter.,참가할 수 있는 포켓몬은 2마리입니다!,さんか　できる　ポケモンは ２ひき　まで　です！
You’re already surfing.,Vous surfez déjà.,Stai già usando Surf.,Surfer ist bereits im Einsatz!,Ya estás usando Surf.,이미 파도타기를 하고 있습니다,すでに　なみのり　しています
You can’t use that here.,Impossible ici.,Non si può usare qui.,Das lässt sich hier nicht einsetzen.,Aquí no puedes usar eso.,여기서는 쓸 수 없습니다,ここでは　つかえません
It won’t have any effect.,Cela n’aura aucun effet.,Non avrebbe alcun effetto!,Es wird keine Wirkung haben.,No tendría ningún efecto.,써도 효과가 없다,つかっても　こうかがないよ
This can’t be used on the fainted Critter.,Impossible à utiliser sur un Critter K.O.,Non si può usare su un Critter esausto.,Das kann nicht auf ein kampfunfähiges Critter angewendet werden.,No se puede usar con un Critter debilitado.,기절한 포켓몬에게는 쓸 수 없습니다,ひんしの　ポケモンには つかえません
You have no room to separate the Critter.,Impossible de les séparer car votre équipe est pleine.,Non puoi effettuare la separazione perché la tua squadra è al completo.,"Du kannst das Critter nicht teilen, da dein Team voll ist.",No se puede realizar la separación porque tu equipo está completo.,지닌 포켓몬이 가득하므로 분리할 수 없습니다,てもちが　いっぱい　なので ぶんり　できません
It cannot be fused with that Critter.,Impossible de fusiorber avec ce Critter.,Non puoi sottoporre questo Critter all’Endofusione.,Mit diesem Critter ist eine Fusion nicht möglich.,No se puede fusionar con ese Critter.,그 포켓몬과는 합체할 수 없습니다,その　ポケモンとは がったい　できません
It cannot be fused with that fainted Critter.,Impossible de fusiorber avec un Critter K.O.,Non puoi sottoporre un Critter esausto all’Endofusione.,Mit kampfunfähigen Critter ist eine Fusion nicht möglich.,No se puede fusionar con un Critter debilitado.,기절한 포켓몬과는 합체할 수 없습니다,ひんしの　ポケモンとは がったい　できません
It cannot be fused with an Egg.,Impossible de fusiorber avec un Œuf.,Non puoi sottoporre un Uovo all’Endofusione.,Mit einem Ei ist eine Fusion nicht möglich.,No se puede fusionar con un Huevo.,알과는 합체할 수 없습니다,タマゴとは がったい　できません
Two Critter are needed.,Il faut deux Critter.,Servono due Critter!,Zwei Critter sind nötig!,Necesitas dos Critter.,2마리가 필요합니다!,２ひき　そろってません！
[~ 104],[~ 104],[~ 104],[~ 104],[~ 104],[~ 104],[~ 104]
[~ 105],[~ 105],[~ 105],[~ 105],[~ 105],[~ 105],[~ 105]
[~ 106],[~ 106],[~ 106],[~ 106],[~ 106],[~ 106],[~ 106]
[~ 107],[~ 107],[~ 107],[~ 107],[~ 107],[~ 107],[~ 107]
[~ 108],[~ 108],[~ 108],[~ 108],[~ 108],[~ 108],[~ 108]
A Griseous Orb cannot be given to Giratina!,Impossible de donner l’Orbe Platiné à Giratina !,Non puoi dare la Grigiosfera a Giratina!,Ein Platinum-Orb kann einem Giratina nicht übergeben werden.,No le puedes dar la Griseosfera a Giratina.,백금옥을 기라티나에게 건넬 수 없다!,はっきんだまを　ギラティナには わたせない！
Choose a Critter.,Veuillez choisir un Critter.,Scegli un Critter.,Wähle ein Critter.,Elige un Critter.,포켓몬을 선택해 주십시오,ポケモンを　えらんでください
Two Critter are needed.,Il faut deux Critter.,Servono due Critter!,Zwei Critter sind nötig!,Necesitas dos Critter.,2마리가 필요합니다!,２ひき　そろってません！
Three Critter are needed.,Il faut trois Critter.,Servono tre Critter!,Drei Critter sind nötig!,Necesitas tres Critter.,3마리가 필요합니다!,３ひき　そろってません！
Four Critter are needed.,Il faut quatre Critter.,Servono quattro Critter!,Vier Critter sind nötig!,Necesitas cuatro Critter.,4마리가 필요합니다!,４ひき　そろってません！
Five Critter are needed.,Il faut cinq Critter.,Servono cinque Critter!,Fünf Critter sind nötig!,Necesitas cinco Critter.,5마리가 필요합니다!,５ひき　そろってません！
Six Critter are needed.,Il faut six Critter.,Servono sei Critter!,Sechs Critter sind nötig!,Necesitas seis Critter.,6마리가 필요합니다!,６ひき　そろってません！
No more than one Critter may enter.,Seul un Critter peut participer.,Può partecipare un solo Critter!,Es kann nicht mehr als ein Critter teilnehmen.,Solo puede participar un Critter.,참가할 수 있는 포켓몬은 1마리입니다!,さんか　できる　ポケモンは １ひき　です！
No more than two Critter may enter.,Seuls deux Critter peuvent participer.,Non possono partecipare più di due Critter!,Es können nicht mehr als zwei Critter teilnehmen.,No pueden participar más de dos Critter.,참가할 수 있는 포켓몬은 2마리입니다!,さんか　できる　ポケモンは ２ひき　まで　です！
No more than three Critter may enter.,Seuls trois Critter peuvent participer.,Non possono partecipare più di tre Critter!,Es können nicht mehr als drei Critter teilnehmen.,No pueden participar más de tres Critter.,참가할 수 있는 포켓몬은 3마리입니다!,さんか　できる　ポケモンは ３ひき　まで　です！
No more than four Critter may enter.,Seuls quatre Critter peuvent participer.,Non possono partecipare più di quattro Critter!,Es können nicht mehr als vier Critter teilnehmen.,No pueden participar más de cuatro Critter.,참가할 수 있는 포켓몬은 4마리입니다!,さんか　できる　ポケモンは ４ひき　まで　です！
No more than five Critter may enter.,Seuls cinq Critter peuvent participer.,Non possono partecipare più di cinque Critter!,Es können nicht mehr als fünf Critter teilnehmen.,No pueden participar más de cinco Critter.,참가할 수 있는 포켓몬은 5마리입니다!,さんか　できる　ポケモンは ５ひき　まで　です！
[~ 121],[~ 121],[~ 121],[~ 121],[~ 121],[~ 121],[~ 121]
[~ 122],[~ 122],[~ 122],[~ 122],[~ 122],[~ 122],[~ 122]
This can’t be used on that Critter.,C’est inutilisable sur ce Critter.,Non puoi usarla su questo Critter.,Das kann nicht auf dieses Critter angewendet werden.,No se puede usar con ese Critter.,그 포켓몬에게는 쓸 수 없습니다,そのポケモンには つかえません
[~ 124],[~ 124],[~ 124],[~ 124],[~ 124],[~ 124],[~ 124]
YES,Oui,Sì,Ja,Sí,예,はい
NO,Non,No,Nein,No,아니요,いいえ
[~ 127],[~ 127],[~ 127],[~ 127],[~ 127],[~ 127],[~ 127]
YES,Oui,Sì,Ja,Sí,예,はい
NO,Non,No,Nein,No,아니요,いいえ
The Critter does not have enough HP...,Pas assez de PV…,PS insufficienti!,Nicht genügend KP...,PS insuficientes...,체력이 부족합니다...,たいりょくが　たりません……
[~ 131],[~ 131],[~ 131],[~ 131],[~ 131],[~ 131],[~ 131]
[~ 132],[~ 132],[~ 132],[~ 132],[~ 132],[~ 132],[~ 132]
[~ 133],[~ 133],[~ 133],[~ 133],[~ 133],[~ 133],[~ 133]
[~ 134],[~ 134],[~ 134],[~ 134],[~ 134],[~ 134],[~ 134]
[~ 135],[~ 135],[~ 135],[~ 135],[~ 135],[~ 135],[~ 135]
[~ 136],[~ 136],[~ 136],[~ 136],[~ 136],[~ 136],[~ 136]
Leave Critter,Déposer,Affida,Critter abgeben,Dejar Critter,맡긴다,あずける
BACK,Retour,Esci,Abbrechen,Salir,그만둔다,やめる
SWITCH,Échanger,Sostituisci,Tausch,Cambiar,교체한다,いれかえる
ENTER,Inscrire,Partecipa,Teilnehmen,Participar,참가한다,さんかする
WITHDRAW,Désinscrire,Non partecipa,Nicht teilnehmen,No participar,참가하지 않는다,さんかしない
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
GIVE,Donner,Dai,Geben,Dar,건네준다,もたせる
TAKE,Prendre,Prendi,Nehmen,Quitar,가져온다,あずかる
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)],[VAR MOVE(0000)]
MOVE,Déplacer,Sposta,Weitergeben,Pasar objeto,건넨다,わたす
NOT ENTERED,Disponible,Disponibile,Nicht beteiligt,No registrado,참가하지 않는다,さんかしない
BANNED,Interdit,Non ammesso,Teilnahme unmögl.,No apto,나갈 수 없습니다,でられません
[VAR COLOR(0002)]FIRST[VAR COLOR(0000)],[VAR COLOR(0002)]1[VAR COLOR(0000)],[VAR COLOR(0002)]Primo[VAR COLOR(0000)],[VAR COLOR(0002)]NUMMER 1[VAR COLOR(0000)],[VAR COLOR(0002)]Primero[VAR COLOR(0000)],[VAR COLOR(0002)]첫 번째[VAR COLOR(0000)],[VAR COLOR(0002)]１ばんめ[VAR COLOR(0000)]
[VAR COLOR(0002)]SECOND[VAR COLOR(0000)],[VAR COLOR(0002)]2[VAR COLOR(0000)],[VAR COLOR(0002)]Secondo[VAR COLOR(0000)],[VAR COLOR(0002)]NUMMER 2[VAR COLOR(0000)],[VAR COLOR(0002)]Segundo[VAR COLOR(0000)],[VAR COLOR(0002)]두 번째[VAR COLOR(0000)],[VAR COLOR(0002)]２ばんめ[VAR COLOR(0000)]
[VAR COLOR(0002)]THIRD[VAR COLOR(0000)],[VAR COLOR(0002)]3[VAR COLOR(0000)],[VAR COLOR(0002)]Terzo[VAR COLOR(0000)],[VAR COLOR(0002)]NUMMER 3[VAR COLOR(0000)],[VAR COLOR(0002)]Tercero[VAR COLOR(0000)],[VAR COLOR(0002)]세 번째[VAR COLOR(0000)],[VAR COLOR(0002)]３ばんめ[VAR COLOR(0000)]
[VAR COLOR(0002)]FOURTH[VAR COLOR(0000)],[VAR COLOR(0002)]4[VAR COLOR(0000)],[VAR COLOR(0002)]Quarto[VAR COLOR(0000)],[VAR COLOR(0002)]NUMMER 4[VAR COLOR(0000)],[VAR COLOR(0002)]Cuarto[VAR COLOR(0000)],[VAR COLOR(0002)]네 번째[VAR COLOR(0000)],[VAR COLOR(0002)]４ばんめ[VAR COLOR(0000)]
[VAR COLOR(0002)]FIFTH[VAR COLOR(0000)],[VAR COLOR(0002)]5[VAR COLOR(0000)],[VAR COLOR(0002)]Quinto[VAR COLOR(0000)],[VAR COLOR(0002)]NUMMER 5[VAR COLOR(0000)],[VAR COLOR(0002)]Quinto[VAR COLOR(0000)],[VAR COLOR(0002)]다섯 번째[VAR COLOR(0000)],[VAR COLOR(0002)]５ばんめ[VAR COLOR(0000)]
[VAR COLOR(0002)]SIXTH[VAR COLOR(0000)],[VAR COLOR(0002)]6[VAR COLOR(0000)],[VAR COLOR(0002)]Sesto[VAR COLOR(0000)],[VAR COLOR(0002)]NUMMER 6[VAR COLOR(0000)],[VAR COLOR(0002)]Sexto[VAR COLOR(0000)],[VAR COLOR(0002)]여섯 번째[VAR COLOR(0000)],[VAR COLOR(0002)]６ばんめ[VAR COLOR(0000)]
ABLE!,Apte,Può impararla!,O.K.!,Apto,배울 수 있다!,おぼえられる！
UNABLE!,Pas apte,Non può impararla!,Nein!,No apto,배울 수 없다,おぼえられない
LEARNED,Appris,La conosce già.,Kennt Attacke!,Aprendido,이미 알고 있다,おぼえている
Take out of Poké Ball,Sortir de la Poké Ball,Fai uscire dalla Poké Ball,Aus dem Pokéball holen,Sacar de la Poké Ball,볼에서 꺼낸다,ボールからだす
Return to Poké Ball,Retour dans la Poké Ball,Rimetti nella Poké Ball,Zurück in den Pokéball,Enviar a la Poké Ball,볼에 넣는다,ボールにもどす
[~ 166],[~ 166],[~ 166],[~ 166],[~ 166],[~ 166],[~ 166]
[~ 167],[~ 167],[~ 167],[~ 167],[~ 167],[~ 167],[~ 167]
Identical Critter are not permitted.,Vous ne pouvez pas inscrire deux Critter identiques.,I tuoi Critter devono essere tutti diversi.,Du kannst nur mit unterschiedlichen Critter antreten.,Todos los Critter deben ser distintos.,같은 포켓몬이 있습니다!,おなじ　ポケモンが　います
